"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Marengo County, AL"	"01091"	Suppressed	20110	Suppressed	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30271	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	24	94636	25.36	26.82
	"Mobile County, AL"	"01097"	87	415123	20.96	20.05
	"Monroe County, AL"	"01099"	Suppressed	21947	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	41	226189	18.13	17.53
	"Morgan County, AL"	"01103"	19	119607	Unreliable	Unreliable
	"Perry County, AL"	"01105"	Suppressed	9826	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20365	Suppressed	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33389	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	11	22539	Unreliable	Unreliable
	"Russell County, AL"	"01113"	32	59608	53.68	53.14
	"St. Clair County, AL"	"01115"	45	86697	51.90	47.76
	"Shelby County, AL"	"01117"	52	206655	25.16	23.64
	"Sumter County, AL"	"01119"	Suppressed	13166	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	10	81322	Unreliable	Unreliable
	"Tallapoosa County, AL"	"01123"	Suppressed	41165	Suppressed	Suppressed
	"Tuscaloosa County, AL"	"01125"	30	202212	14.84	15.58
	"Walker County, AL"	"01127"	31	65471	47.35	48.00
	"Washington County, AL"	"01129"	Suppressed	16834	Suppressed	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11098	Suppressed	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24150	Suppressed	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3360	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5750	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	260	301010	86.38	112.14
	"Bethel Census Area, AK"	"02050"	13	17868	Unreliable	Unreliable
	"Bristol Bay Borough, AK"	"02060"	Suppressed	957	Suppressed	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1921	Suppressed	Suppressed
	"Dillingham Census Area, AK"	"02070"	10	4988	Unreliable	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	88	99357	88.57	127.91
	"Haines Borough, AK"	"02100"	Suppressed	2566	Suppressed	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	2082	Suppressed	Suppressed
	"Juneau Borough, AK"	"02110"	46	32406	141.95	161.21
	"Kenai Peninsula Borough, AK"	"02122"	89	57477	154.84	147.20
	"Ketchikan Gateway Borough, AK"	"02130"	20	13787	145.06	110.87
	"Kodiak Island Borough, AK"	"02150"	10	13986	Unreliable	Unreliable
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1631	Suppressed	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	94	97882	96.03	122.02
	"Nome Census Area, AK"	"02180"	Suppressed	9817	Suppressed	Suppressed
	"North Slope Borough, AK"	"02185"	13	9703	Unreliable	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7717	Suppressed	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	3160	Suppressed	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	6396	Suppressed	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	Suppressed	8900	Suppressed	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	1036	Suppressed	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	11	6931	Unreliable	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	16	9488	Unreliable	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	8010	Suppressed	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Suppressed	2364	Suppressed	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	635	Suppressed	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	12	5547	Unreliable	Unreliable
	"Apache County, AZ"	"04001"	44	71828	61.26	59.41
	"Cochise County, AZ"	"04003"	196	127448	153.79	111.11
	"Coconino County, AZ"	"04005"	90	137682	65.37	71.67
	"Gila County, AZ"	"04007"	128	53119	240.97	161.41
	"Graham County, AZ"	"04009"	50	37957	131.73	135.20
	"Greenlee County, AZ"	"04011"	Suppressed	9346	Suppressed	Suppressed
	"La Paz County, AZ"	"04012"	59	20231	291.63	172.35
	"Maricopa County, AZ"	"04013"	4004	4087191	97.96	92.37
	"Mohave County, AZ"	"04015"	503	203361	247.34	150.68
	"Navajo County, AZ"	"04017"	148	108101	136.91	123.16
	"Pima County, AZ"	"04019"	1170	1004516	116.47	94.60
	"Pinal County, AZ"	"04021"	459	401918	114.20	95.47
	"Santa Cruz County, AZ"	"04023"	40	46695	85.66	78.80
	"Yavapai County, AZ"	"04025"	591	218844	270.06	163.28
	"Yuma County, AZ"	"04027"	197	203247	96.93	82.10
	"Arkansas County, AR"	"05001"	31	18594	166.72	126.94
	"Ashley County, AR"	"05003"	33	20948	157.53	116.95
	"Baxter County, AR"	"05005"	59	40857	144.41	92.74
	"Benton County, AR"	"05007"	170	242321	70.15	68.33
	"Boone County, AR"	"05009"	52	37196	139.80	100.79
	"Bradley County, AR"	"05011"	11	11148	Unreliable	Unreliable
	"Calhoun County, AR"	"05013"	Suppressed	5202	Suppressed	Suppressed
	"Carroll County, AR"	"05015"	49	27744	176.61	116.25
	"Chicot County, AR"	"05017"	16	11180	Unreliable	Unreliable
	"Clark County, AR"	"05019"	37	22576	163.89	134.00
	"Clay County, AR"	"05021"	43	15118	284.43	194.94
	"Cleburne County, AR"	"05023"	28	25634	109.23	73.42
	"Cleveland County, AR"	"05025"	12	8449	Unreliable	Unreliable
	"Columbia County, AR"	"05027"	36	23933	150.42	126.01
	"Conway County, AR"	"05029"	28	21083	132.81	99.88
	"Craighead County, AR"	"05031"	163	102518	159.00	155.21
	"Crawford County, AR"	"05033"	79	61697	128.05	113.97
	"Crittenden County, AR"	"05035"	30	49548	60.55	60.25
	"Cross County, AR"	"05037"	36	17227	208.97	162.91
	"Dallas County, AR"	"05039"	Suppressed	7755	Suppressed	Suppressed
	"Desha County, AR"	"05041"	18	12264	Unreliable	Unreliable
	"Drew County, AR"	"05043"	38	18622	204.06	172.59
	"Faulkner County, AR"	"05045"	129	120768	106.82	118.56
	"Franklin County, AR"	"05047"	41	17805	230.27	171.29
	"Fulton County, AR"	"05049"	26	12125	214.43	119.95
	"Garland County, AR"	"05051"	212	97322	217.83	153.80
	"Grant County, AR"	"05053"	22	18144	121.25	102.69
	"Greene County, AR"	"05055"	76	43694	173.94	153.35
	"Hempstead County, AR"	"05057"	19	22327	Unreliable	Unreliable
	"Hot Spring County, AR"	"05059"	58	33368	173.82	133.65
	"Howard County, AR"	"05061"	22	13500	162.96	124.13
	"Independence County, AR"	"05063"	42	36959	113.64	85.45
	"Izard County, AR"	"05065"	22	13486	163.13	109.17
	"Jackson County, AR"	"05067"	33	17534	188.21	140.67
	"Jefferson County, AR"	"05069"	75	72297	103.74	88.34
	"Johnson County, AR"	"05071"	53	26005	203.81	172.35
	"Lafayette County, AR"	"05073"	Suppressed	7111	Suppressed	Suppressed
	"Lawrence County, AR"	"05075"	40	16931	236.25	183.61
	"Lee County, AR"	"05077"	Suppressed	9860	Suppressed	Suppressed
	"Lincoln County, AR"	"05079"	14	13970	Unreliable	Unreliable
	"Little River County, AR"	"05081"	26	12532	207.47	145.42
	"Logan County, AR"	"05083"	47	21958	214.04	157.18
	"Lonoke County, AR"	"05085"	98	71557	136.95	134.21
	"Madison County, AR"	"05087"	17	15740	Unreliable	Unreliable
	"Marion County, AR"	"05089"	23	16367	140.53	99.14
	"Miller County, AR"	"05091"	54	43428	124.34	106.19
	"Mississippi County, AR"	"05093"	70	44235	158.25	154.17
	"Monroe County, AR"	"05095"	10	7582	Unreliable	Unreliable
	"Montgomery County, AR"	"05097"	Suppressed	9082	Suppressed	Suppressed
	"Nevada County, AR"	"05099"	12	8723	Unreliable	Unreliable
	"Newton County, AR"	"05101"	12	7904	Unreliable	Unreliable
	"Ouachita County, AR"	"05103"	39	24828	157.08	110.90
	"Perry County, AR"	"05105"	20	10245	195.22	136.80
	"Phillips County, AR"	"05107"	39	19930	195.68	154.70
	"Pike County, AR"	"05109"	36	11024	326.56	231.99
	"Poinsett County, AR"	"05111"	67	24246	276.33	231.34
	"Polk County, AR"	"05113"	40	20225	197.78	131.45
	"Pope County, AR"	"05115"	127	63201	200.95	185.98
	"Prairie County, AR"	"05117"	17	8304	Unreliable	Unreliable
	"Pulaski County, AR"	"05119"	448	392702	114.08	104.12
	"Randolph County, AR"	"05121"	43	17571	244.72	165.09
	"St. Francis County, AR"	"05123"	12	26899	Unreliable	Unreliable
	"Saline County, AR"	"05125"	104	115719	89.87	75.73
	"Scott County, AR"	"05127"	18	10693	Unreliable	Unreliable
	"Searcy County, AR"	"05129"	Suppressed	7929	Suppressed	Suppressed
	"Sebastian County, AR"	"05131"	194	126776	153.03	133.74
	"Sevier County, AR"	"05133"	15	17426	Unreliable	Unreliable
	"Sharp County, AR"	"05135"	23	16906	136.05	93.07
	"Stone County, AR"	"05137"	19	12494	Unreliable	Unreliable
	"Union County, AR"	"05139"	58	40227	144.18	109.77
	"Van Buren County, AR"	"05141"	26	16851	154.29	85.72
	"Washington County, AR"	"05143"	93	220792	42.12	46.28
	"White County, AR"	"05145"	111	78592	141.24	124.54
	"Woodruff County, AR"	"05147"	Suppressed	6910	Suppressed	Suppressed
	"Yell County, AR"	"05149"	49	21951	223.22	175.45
	"Alameda County, CA"	"06001"	304	1610921	18.87	17.58
	"Alpine County, CA"	"06003"	Suppressed	1116	Suppressed	Suppressed
	"Amador County, CA"	"06005"	21	36742	57.16	41.98
	"Butte County, CA"	"06007"	139	224241	61.99	56.14
	"Calaveras County, CA"	"06009"	11	44624	Unreliable	Unreliable
	"Colusa County, CA"	"06011"	Suppressed	21419	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	254	1111339	22.86	20.57
	"Del Norte County, CA"	"06015"	29	27212	106.57	91.41
	"El Dorado County, CA"	"06017"	76	183087	41.51	34.63
	"Fresno County, CA"	"06019"	206	965974	21.33	22.56
	"Glenn County, CA"	"06021"	13	27955	Unreliable	Unreliable
	"Humboldt County, CA"	"06023"	102	134809	75.66	68.78
	"Imperial County, CA"	"06025"	40	179091	22.34	24.09
	"Inyo County, CA"	"06027"	14	18410	Unreliable	Unreliable
	"Kern County, CA"	"06029"	280	874589	32.02	33.29
	"Kings County, CA"	"06031"	35	150269	23.29	26.03
	"Lake County, CA"	"06033"	63	64184	98.16	85.83
	"Lassen County, CA"	"06035"	19	31749	Unreliable	Unreliable
	"Los Angeles County, CA"	"06037"	1434	10116705	14.17	13.50
	"Madera County, CA"	"06039"	44	154548	28.47	29.87
	"Marin County, CA"	"06041"	55	260750	21.09	15.46
	"Mariposa County, CA"	"06043"	Suppressed	17682	Suppressed	Suppressed
	"Mendocino County, CA"	"06045"	59	87869	67.15	61.09
	"Merced County, CA"	"06047"	125	266353	46.93	52.63
	"Modoc County, CA"	"06049"	10	9023	Unreliable	Unreliable
	"Mono County, CA"	"06051"	Suppressed	13997	Suppressed	Suppressed
	"Monterey County, CA"	"06053"	82	431344	19.01	20.09
	"Napa County, CA"	"06055"	34	141667	24.00	19.72
	"Nevada County, CA"	"06057"	32	98893	32.36	28.71
	"Orange County, CA"	"06059"	501	3145515	15.93	15.00
	"Placer County, CA"	"06061"	83	371694	22.33	18.57
	"Plumas County, CA"	"06063"	20	18606	107.49	102.93
	"Riverside County, CA"	"06065"	498	2329271	21.38	21.07
	"Sacramento County, CA"	"06067"	475	1482026	32.05	30.82
	"San Benito County, CA"	"06069"	Suppressed	58267	Suppressed	Suppressed
	"San Bernardino County, CA"	"06071"	451	2112619	21.35	21.79
	"San Diego County, CA"	"06073"	704	3263431	21.57	20.51
	"San Francisco County, CA"	"06075"	231	852469	27.10	23.01
	"San Joaquin County, CA"	"06077"	212	715597	29.63	29.26
	"San Luis Obispo County, CA"	"06079"	81	279083	29.02	24.90
	"San Mateo County, CA"	"06081"	115	758581	15.16	13.14
	"Santa Barbara County, CA"	"06083"	132	440668	29.95	29.17
	"Santa Clara County, CA"	"06085"	248	1894605	13.09	12.32
	"Santa Cruz County, CA"	"06087"	103	271804	37.89	36.35
	"Shasta County, CA"	"06089"	97	179804	53.95	44.67
	"Sierra County, CA"	"06091"	Suppressed	3003	Suppressed	Suppressed
	"Siskiyou County, CA"	"06093"	34	43628	77.93	55.94
	"Solano County, CA"	"06095"	110	431131	25.51	23.56
	"Sonoma County, CA"	"06097"	189	500292	37.78	32.45
	"Stanislaus County, CA"	"06099"	144	531997	27.07	28.01
	"Sutter County, CA"	"06101"	24	95847	25.04	26.71
	"Tehama County, CA"	"06103"	29	63067	45.98	33.55
	"Trinity County, CA"	"06105"	Suppressed	13170	Suppressed	Suppressed
	"Tulare County, CA"	"06107"	72	458198	15.71	17.70
	"Tuolumne County, CA"	"06109"	34	53831	63.16	43.82
	"Ventura County, CA"	"06111"	198	846178	23.40	22.45
	"Yolo County, CA"	"06113"	53	207590	25.53	25.62
	"Yuba County, CA"	"06115"	22	73966	29.74	30.75
	"Adams County, CO"	"08001"	457	480718	95.07	111.65
	"Alamosa County, CO"	"08003"	15	16177	Unreliable	Unreliable
	"Arapahoe County, CO"	"08005"	420	618821	67.87	69.46
	"Archuleta County, CO"	"08007"	15	12244	Unreliable	Unreliable
	"Baca County, CO"	"08009"	Suppressed	3645	Suppressed	Suppressed
	"Bent County, CO"	"08011"	Suppressed	5630	Suppressed	Suppressed
	"Boulder County, CO"	"08013"	220	313333	70.21	69.59
	"Broomfield County, CO"	"08014"	51	62138	82.08	81.40
	"Chaffee County, CO"	"08015"	24	18363	130.70	83.40
	"Cheyenne County, CO"	"08017"	Suppressed	1871	Suppressed	Suppressed
	"Clear Creek County, CO"	"08019"	Suppressed	9187	Suppressed	Suppressed
	"Conejos County, CO"	"08021"	Suppressed	8265	Suppressed	Suppressed
	"Costilla County, CO"	"08023"	Suppressed	3568	Suppressed	Suppressed
	"Crowley County, CO"	"08025"	Suppressed	5360	Suppressed	Suppressed
	"Custer County, CO"	"08027"	Suppressed	4361	Suppressed	Suppressed
	"Delta County, CO"	"08029"	39	29870	130.57	79.40
	"Denver County, CO"	"08031"	658	663862	99.12	104.57
	"Dolores County, CO"	"08033"	Suppressed	1978	Suppressed	Suppressed
	"Douglas County, CO"	"08035"	101	314638	32.10	39.98
	"Eagle County, CO"	"08037"	16	52921	Unreliable	Unreliable
	"Elbert County, CO"	"08039"	13	24195	Unreliable	Unreliable
	"El Paso County, CO"	"08041"	656	663519	98.87	105.49
	"Fremont County, CO"	"08043"	86	46502	184.94	126.30
	"Garfield County, CO"	"08045"	42	57461	73.09	85.45
	"Gilpin County, CO"	"08047"	Suppressed	5851	Suppressed	Suppressed
	"Grand County, CO"	"08049"	12	14546	Unreliable	Unreliable
	"Gunnison County, CO"	"08051"	13	15725	Unreliable	Unreliable
	"Hinsdale County, CO"	"08053"	Suppressed	786	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	13	6462	Unreliable	Unreliable
	"Jackson County, CO"	"08057"	Suppressed	1396	Suppressed	Suppressed
	"Jefferson County, CO"	"08059"	516	558503	92.39	80.07
	"Kiowa County, CO"	"08061"	Suppressed	1402	Suppressed	Suppressed
	"Kit Carson County, CO"	"08063"	15	8072	Unreliable	Unreliable
	"Lake County, CO"	"08065"	Suppressed	7357	Suppressed	Suppressed
	"La Plata County, CO"	"08067"	49	53989	90.76	79.36
	"Larimer County, CO"	"08069"	243	324122	74.97	70.28
	"Las Animas County, CO"	"08071"	27	14052	192.14	129.26
	"Lincoln County, CO"	"08073"	10	5510	Unreliable	Unreliable
	"Logan County, CO"	"08075"	31	22524	137.63	114.04
	"Mesa County, CO"	"08077"	293	148255	197.63	151.99
	"Mineral County, CO"	"08079"	Suppressed	698	Suppressed	Suppressed
	"Moffat County, CO"	"08081"	23	12928	177.91	180.17
	"Montezuma County, CO"	"08083"	48	25772	186.25	134.23
	"Montrose County, CO"	"08085"	68	40873	166.37	112.87
	"Morgan County, CO"	"08087"	25	28328	88.25	77.38
	"Otero County, CO"	"08089"	23	18488	124.41	110.29
	"Ouray County, CO"	"08091"	Suppressed	4629	Suppressed	Suppressed
	"Park County, CO"	"08093"	15	16345	Unreliable	Unreliable
	"Phillips County, CO"	"08095"	Suppressed	4363	Suppressed	Suppressed
	"Pitkin County, CO"	"08097"	Suppressed	17626	Suppressed	Suppressed
	"Prowers County, CO"	"08099"	11	12034	Unreliable	Unreliable
	"Pueblo County, CO"	"08101"	210	161875	129.73	105.65
	"Rio Blanco County, CO"	"08103"	10	6707	Unreliable	Unreliable
	"Rio Grande County, CO"	"08105"	11	11607	Unreliable	Unreliable
	"Routt County, CO"	"08107"	13	23865	Unreliable	Unreliable
	"Saguache County, CO"	"08109"	Suppressed	6196	Suppressed	Suppressed
	"San Juan County, CO"	"08111"	Suppressed	720	Suppressed	Suppressed
	"San Miguel County, CO"	"08113"	Suppressed	7840	Suppressed	Suppressed
	"Sedgwick County, CO"	"08115"	11	2348	Unreliable	Unreliable
	"Summit County, CO"	"08117"	Suppressed	29404	Suppressed	Suppressed
	"Teller County, CO"	"08119"	45	23389	192.40	155.29
	"Washington County, CO"	"08121"	Suppressed	4780	Suppressed	Suppressed
	"Weld County, CO"	"08123"	198	277670	71.31	77.39
	"Yuma County, CO"	"08125"	Suppressed	10202	Suppressed	Suppressed
	"Fairfield County, CT"	"09001"	681	945438	72.03	62.23
	"Hartford County, CT"	"09003"	859	897985	95.66	79.92
	"Litchfield County, CT"	"09005"	215	184993	116.22	90.89
	"Middlesex County, CT"	"09007"	212	164943	128.53	100.25
	"New Haven County, CT"	"09009"	933	861277	108.33	89.80
	"New London County, CT"	"09011"	320	273676	116.93	96.94
	"Tolland County, CT"	"09013"	127	151367	83.90	82.60
	"Windham County, CT"	"09015"	174	116998	148.72	131.58
	"Kent County, DE"	"10001"	293	171987	170.36	152.31
	"New Castle County, DE"	"10003"	596	552778	107.82	99.10
	"Sussex County, DE"	"10005"	487	210849	230.97	145.67
	"District of Columbia, DC"	"11001"	439	658893	66.63	68.43
	"Alachua County, FL"	"12001"	268	256380	104.53	106.99
	"Baker County, FL"	"12003"	29	27093	107.04	104.02
	"Bay County, FL"	"12005"	352	178985	196.66	159.77
	"Bradford County, FL"	"12007"	46	26702	172.27	132.56
	"Brevard County, FL"	"12009"	937	556885	168.26	108.42
	"Broward County, FL"	"12011"	935	1869235	50.02	41.75
	"Calhoun County, FL"	"12013"	32	14532	220.20	164.91
	"Charlotte County, FL"	"12015"	231	168474	137.11	71.73
	"Citrus County, FL"	"12017"	309	139377	221.70	118.21
	"Clay County, FL"	"12019"	198	199798	99.10	90.84
	"Collier County, FL"	"12021"	383	348777	109.81	61.75
	"Columbia County, FL"	"12023"	121	67857	178.32	135.23
	"DeSoto County, FL"	"12027"	27	35012	77.12	63.26
	"Dixie County, FL"	"12029"	41	15907	257.75	179.98
	"Duval County, FL"	"12031"	947	897698	105.49	99.94
	"Escambia County, FL"	"12033"	491	310659	158.05	133.55
	"Flagler County, FL"	"12035"	156	102408	152.33	88.92
	"Franklin County, FL"	"12037"	26	11815	220.06	171.54
	"Gadsden County, FL"	"12039"	70	46281	151.25	123.67
	"Gilchrist County, FL"	"12041"	39	16997	229.45	163.27
	"Glades County, FL"	"12043"	Suppressed	13635	Suppressed	Suppressed
	"Gulf County, FL"	"12045"	29	15944	181.89	136.82
	"Hamilton County, FL"	"12047"	23	14048	163.72	133.90
	"Hardee County, FL"	"12049"	42	27469	152.90	135.70
	"Hendry County, FL"	"12051"	35	38505	90.90	92.00
	"Hernando County, FL"	"12053"	322	175855	183.11	107.00
	"Highlands County, FL"	"12055"	267	98236	271.79	139.05
	"Hillsborough County, FL"	"12057"	1171	1316298	88.96	83.50
	"Holmes County, FL"	"12059"	38	19650	193.38	136.40
	"Indian River County, FL"	"12061"	256	144755	176.85	93.79
	"Jackson County, FL"	"12063"	70	48801	143.44	106.87
	"Jefferson County, FL"	"12065"	26	14050	185.05	127.29
	"Lafayette County, FL"	"12067"	Suppressed	8835	Suppressed	Suppressed
	"Lake County, FL"	"12069"	477	315690	151.10	94.30
	"Lee County, FL"	"12071"	801	679513	117.88	76.67
	"Leon County, FL"	"12073"	209	283988	73.59	80.77
	"Levy County, FL"	"12075"	92	39613	232.25	144.77
	"Liberty County, FL"	"12077"	14	8360	Unreliable	Unreliable
	"Madison County, FL"	"12079"	32	18518	172.80	123.43
	"Manatee County, FL"	"12081"	486	351746	138.17	98.21
	"Marion County, FL"	"12083"	1082	339167	319.02	185.27
	"Martin County, FL"	"12085"	253	153392	164.94	81.38
	"Miami-Dade County, FL"	"12086"	1087	2662874	40.82	34.20
	"Monroe County, FL"	"12087"	83	77136	107.60	72.76
	"Nassau County, FL"	"12089"	112	76619	146.18	103.53
	"Okaloosa County, FL"	"12091"	332	196512	168.95	146.94
	"Okeechobee County, FL"	"12093"	90	39149	229.89	183.14
	"Orange County, FL"	"12095"	840	1253001	67.04	70.84
	"Osceola County, FL"	"12097"	230	310211	74.14	72.52
	"Palm Beach County, FL"	"12099"	1038	1397710	74.26	51.36
	"Pasco County, FL"	"12101"	1078	485331	222.12	145.80
	"Pinellas County, FL"	"12103"	1772	938098	188.89	119.54
	"Polk County, FL"	"12105"	554	634638	87.29	66.34
	"Putnam County, FL"	"12107"	206	72143	285.54	190.50
	"St. Johns County, FL"	"12109"	283	217919	129.86	99.73
	"St. Lucie County, FL"	"12111"	408	291028	140.19	96.50
	"Santa Rosa County, FL"	"12113"	213	163422	130.34	115.30
	"Sarasota County, FL"	"12115"	502	396962	126.46	73.70
	"Seminole County, FL"	"12117"	371	442516	83.84	73.99
	"Sumter County, FL"	"12119"	160	114350	139.92	58.92
	"Suwannee County, FL"	"12121"	75	44022	170.37	123.69
	"Taylor County, FL"	"12123"	29	22582	128.42	98.99
	"Union County, FL"	"12125"	15	15190	Unreliable	Unreliable
	"Volusia County, FL"	"12127"	1087	507531	214.17	134.76
	"Wakulla County, FL"	"12129"	50	31432	159.07	154.28
	"Walton County, FL"	"12131"	125	61530	203.15	155.04
	"Washington County, FL"	"12133"	31	24451	126.78	95.19
	"Appling County, GA"	"13001"	41	18540	221.14	180.75
	"Atkinson County, GA"	"13003"	Suppressed	8223	Suppressed	Suppressed
	"Bacon County, GA"	"13005"	19	11281	Unreliable	Unreliable
	"Baker County, GA"	"13007"	Suppressed	3255	Suppressed	Suppressed
	"Baldwin County, GA"	"13009"	21	45909	45.74	41.11
	"Banks County, GA"	"13011"	23	18295	125.72	107.54
	"Barrow County, GA"	"13013"	75	73240	102.40	108.31
	"Bartow County, GA"	"13015"	134	101736	131.71	128.71
	"Ben Hill County, GA"	"13017"	27	17464	154.60	135.77
	"Berrien County, GA"	"13019"	29	18700	155.08	119.08
	"Bibb County, GA"	"13021"	63	153905	40.93	36.97
	"Bleckley County, GA"	"13023"	20	12795	156.31	129.13
	"Brantley County, GA"	"13025"	31	18417	168.32	152.94
	"Brooks County, GA"	"13027"	21	15418	136.20	100.78
	"Bryan County, GA"	"13029"	41	33906	120.92	133.27
	"Bulloch County, GA"	"13031"	53	72087	73.52	86.32
	"Burke County, GA"	"13033"	27	22709	118.90	112.06
	"Butts County, GA"	"13035"	31	23368	132.66	116.40
	"Calhoun County, GA"	"13037"	Suppressed	6463	Suppressed	Suppressed
	"Camden County, GA"	"13039"	46	52027	88.42	95.90
	"Candler County, GA"	"13043"	11	10888	Unreliable	Unreliable
	"Carroll County, GA"	"13045"	154	114093	134.98	133.72
	"Catoosa County, GA"	"13047"	82	65621	124.96	103.47
	"Charlton County, GA"	"13049"	14	12897	Unreliable	Unreliable
	"Chatham County, GA"	"13051"	320	283379	112.92	105.86
	"Chattahoochee County, GA"	"13053"	11	11837	Unreliable	Unreliable
	"Chattooga County, GA"	"13055"	58	24939	232.57	179.76
	"Cherokee County, GA"	"13057"	143	230985	61.91	63.91
	"Clarke County, GA"	"13059"	59	120938	48.79	61.41
	"Clay County, GA"	"13061"	Suppressed	3102	Suppressed	Suppressed
